<table>
  <caption>Summary of late-time observations</caption>
  <tr><th>MJD</th><th>Epoch</th><th rowspan="2">Instrument</th><th rowspan="2">Filter</th><th>Exposure</th></tr>
  <tr><th>(days)</th><th>(s)</th><th>time (s)</th></tr>
  <tr><td>56205.1849</td><td>14332405</td><td>CAHA/BUSCA</td><td>u^()</td><td>13× 45</td></tr>
  <tr><td>56206.1974</td><td>14419882</td><td>CAHA/BUSCA</td><td>u^()</td><td>50× 45</td></tr>
  <tr><td>56208.1930</td><td>14592304</td><td>CAHA/BUSCA</td><td>u^()</td><td>21× 45</td></tr>
  <tr><td>56209.1754</td><td>14677188</td><td>CAHA/BUSCA</td><td>u^()</td><td>52× 45</td></tr>
  <tr><td>56205.1849</td><td>14332405</td><td>CAHA/BUSCA</td><td>g^()</td><td>13× 45</td></tr>
  <tr><td>56206.1974</td><td>14419882</td><td>CAHA/BUSCA</td><td>g^()</td><td>50× 45</td></tr>
  <tr><td>56208.1930</td><td>14592304</td><td>CAHA/BUSCA</td><td>g^()</td><td>21× 45</td></tr>
  <tr><td>56209.1754</td><td>14677188</td><td>CAHA/BUSCA</td><td>g^()</td><td>52× 45</td></tr>
  <tr><td>56205.1849</td><td>14332405</td><td>CAHA/BUSCA</td><td>r^()</td><td>13× 45</td></tr>
  <tr><td>56206.1974</td><td>14419882</td><td>CAHA/BUSCA</td><td>r^()</td><td>50× 45</td></tr>
  <tr><td>56208.1930</td><td>14592304</td><td>CAHA/BUSCA</td><td>r^()</td><td>21× 45</td></tr>
  <tr><td>56209.1754</td><td>14677188</td><td>CAHA/BUSCA</td><td>r^()</td><td>52× 45</td></tr>
  <tr><td>56205.1849</td><td>14332405</td><td>CAHA/BUSCA</td><td>z^()</td><td>13× 45</td></tr>
  <tr><td>56206.1974</td><td>14419882</td><td>CAHA/BUSCA</td><td>z^()</td><td>50× 45</td></tr>
  <tr><td>56208.1930</td><td>14592304</td><td>CAHA/BUSCA</td><td>z^()</td><td>21× 45</td></tr>
  <tr><td>56209.1754</td><td>14677188</td><td>CAHA/BUSCA</td><td>z^()</td><td>52× 45</td></tr>
  <tr><td>56245.1818</td><td>17788140</td><td>LT/IO:O</td><td>r^()</td><td>5× 100</td></tr>
  <tr><td>56254.1677</td><td>18564517</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56270.1558</td><td>19945888</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56275.1809</td><td>20380060</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56277.2116</td><td>20555512</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56279.0852</td><td>20717394</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56282.2041</td><td>20986865</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56283.0932</td><td>21063685</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56284.1360</td><td>21153781</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56296.0438</td><td>22182616</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56300.9702</td><td>22608259</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56302.1352</td><td>22708908</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56303.1084</td><td>22792994</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56303.9884</td><td>22869026</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56305.0037</td><td>22956752</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56306.0300</td><td>23045418</td><td>LT/IO:O</td><td>r^()</td><td>9× 100</td></tr>
  <tr><td>56310.0862</td><td>23395876</td><td>LT/IO:O</td><td>r^()</td><td>15× 100</td></tr>
  <tr><td>56310.9812</td><td>23473205</td><td>LT/IO:O</td><td>r^()</td><td>15× 100</td></tr>
  <tr><td>56312.1042</td><td>23570230</td><td>LT/IO:O</td><td>r^()</td><td>15× 100</td></tr>
  <tr><td>56360.9795</td><td>27793059</td><td>LT/IO:O</td><td>r^()</td><td>15× 100</td></tr>
  <tr><td>56364.8835</td><td>28130364</td><td>LT/IO:O</td><td>r^()</td><td>15× 100</td></tr>
  <tr><td>56365.9379</td><td>28221466</td><td>LT/IO:O</td><td>r^()</td><td>15× 100</td></tr>
  <tr><td>56370.9299</td><td>28652774</td><td>LT/IO:O</td><td>r^()</td><td>15× 100</td></tr>
  <tr><td>56309.4711</td><td>23342731</td><td>Gemini-N/GMOS</td><td>g^()</td><td>5× 100</td></tr>
  <tr><td>56309.4704</td><td>23342671</td><td>Gemini-N/GMOS</td><td>r^()</td><td>5× 100</td></tr>
  <tr><td>56309.4624</td><td>23341981</td><td>Gemini-N/GMOS</td><td>i^()</td><td>5× 100</td></tr>
</table>
