<table>
  <caption>Comparison between fitted stellar properties using SEEK without (top lines) and with (bottom lines) \mssep as a seismic constraint.</caption>
  <tr><th>Star</th><th></th><th></th><th></th><th></th></tr>
  <tr><td></td><th>(dex)</th><th>( )</th><th>( )</th><th>(Gyr)</th></tr>
  <tr><td>C1</td><td>3.88± 0.02</td><td>2.23± 0.04</td><td>1.37± 0.11</td><td>3.9± 1.4</td></tr>
  <tr><td></td><td>3.87± 0.02</td><td>2.22± 0.05</td><td>1.34± 0.11</td><td>4.5± 0.5</td></tr>
  <tr><td>C2</td><td>3.88± 0.02</td><td>2.11± 0.05</td><td>1.26± 0.10</td><td>3.7± 0.7</td></tr>
  <tr><td></td><td>3.88± 0.02</td><td>2.11± 0.05</td><td>1.25± 0.10</td><td>3.7± 0.6</td></tr>
  <tr><td>C3</td><td>3.97± 0.03</td><td>1.90± 0.05</td><td>1.25± 0.13</td><td>4.5± 1.8</td></tr>
  <tr><td></td><td>3.97± 0.02</td><td>1.90± 0.06</td><td>1.23± 0.11</td><td>5.0± 1.9</td></tr>
  <tr><td>C5</td><td>3.82± 0.03</td><td>2.44± 0.14</td><td>1.44± 0.26</td><td>2.6± 0.9</td></tr>
  <tr><td></td><td>3.85± 0.01</td><td>2.56± 0.05</td><td>1.71± 0.09</td><td>1.6± 0.2</td></tr>
  <tr><td>Sun</td><td>4.43± 0.01</td><td>0.99± 0.03</td><td>0.97± 0.06</td><td>9.2± 3.8</td></tr>
  <tr><td></td><td>4.43± 0.01</td><td>1.01± 0.03</td><td>1.01± 0.04</td><td>4.9± 0.5</td></tr>
</table>
