<table>
  <caption>Estimation and goodness-of-fit test for the Double Pareto Distribution</caption>
  <tr><td>Year</td><td>Urban</td><td>Rural</td><td>Urban</td><td>Rural</td></tr>
  <tr><td></td><td>Households</td><td>Households</td><td>Persons</td><td>persons</td></tr>
  <tr><td></td><td>α β KS p-val.</td><td>α β KS p-val.</td><td>α β KS p-val.</td><td>α β KS p-val.</td></tr>
  <tr><td>1983</td><td>1.01 0.83 0.42 0.00</td><td>1.16 1.78 0.47 0.85</td><td>1.38 1.15 0.49 0.24</td><td>0.88 2.06 0.42 0.86</td></tr>
  <tr><td>1987-88</td><td>0.68 0.97 0.28 0.00</td><td>0.91 1.50 0.39 0.24</td><td>0.82 1.27 0.33 0.08</td><td>0.91 1.74 0.41 0.61</td></tr>
  <tr><td>1989-90</td><td>0.98 1.04 0.40 0.00</td><td>1.36 1.21 0.58 0.01</td><td>0.88 1.52 0.38 0.26</td><td>1.35 1.40 0.53 0.01</td></tr>
  <tr><td>1992</td><td>1.58 0.45 0.60 0.00</td><td>1.85 1.00 0.58 0.27</td><td>1.97 0.72 0.62 0.00</td><td>1.86 1.34 0.58 1.00</td></tr>
  <tr><td>1993-94</td><td>1.01 0.71 0.42 0.00</td><td>1.17 1.48 0.47 0.21</td><td>0.96 1.13 0.39 0.00</td><td>1.29 1.48 0.50 0.15</td></tr>
  <tr><td>1995-96</td><td>1.45 0.52 0.54 0.00</td><td>1.85 1.40 0.58 1.00</td><td>1.46 0.89 0.51 0.02</td><td>1.95 1.37 0.59 1.00</td></tr>
  <tr><td>1997</td><td>1.23 0.82 0.43 0.01</td><td>1.83 0.88 0.56 0.54</td><td>1.68 0.66 0.56 0.00</td><td>1.70 1.15 0.54 1.00</td></tr>
  <tr><td>1998</td><td>1.63 0.37 0.58 0.00</td><td>1.90 1.29 0.58 1.00</td><td>1.55 0.79 0.52 0.03</td><td>1.83 1.64 0.59 1.00</td></tr>
  <tr><td>1999-00</td><td>1.07 0.66 0.46 0.00</td><td>1.25 1.49 0.49 0.19</td><td>0.98 1.07 0.40 0.00</td><td>1.21 1.82 0.50 0.44</td></tr>
  <tr><td>2001-02</td><td>0.99 0.43 0.48 0.00</td><td>1.11 0.99 0.48 0.00</td><td>1.00 0.81 0.41 0.00</td><td>0.98 1.31 0.44 0.00</td></tr>
  <tr><td>2002</td><td>1.32 0.37 0.59 0.00</td><td>1.33 1.42 0.50 0.35</td><td>1.27 0.76 0.50 0.00</td><td>1.41 1.52 0.52 0.43</td></tr>
  <tr><td>2003</td><td>1.27 0.40 0.57 0.00</td><td>1.25 1.65 0.48 1.00</td><td>1.15 0.77 0.47 0.00</td><td>1.55 1.36 0.54 0.29</td></tr>
  <tr><td>2004</td><td>0.97 0.71 0.41 0.00</td><td>1.73 1.02 0.56 0.04</td><td>0.89 1.23 0.37 0.00</td><td>1.65 1.39 0.55 0.64</td></tr>
  <tr><td>2004-05</td><td>0.94 0.69 0.39 0.00</td><td>1.19 1.56 0.46 0.72</td><td>1.11 0.85 0.43 0.00</td><td>1.36 1.60 0.51 0.74</td></tr>
  <tr><td>2005-06</td><td>0.82 0.82 0.35 0.00</td><td>1.53 1.02 0.54 0.01</td><td>0.67 1.15 0.29 0.00</td><td>1.74 1.32 0.57 0.32</td></tr>
  <tr><td>2006-07</td><td>0.91 0.84 0.38 0.00</td><td>1.58 1.06 0.54 0.04</td><td>1.38 0.74 0.51 0.00</td><td>1.84 1.09 0.59 0.07</td></tr>
</table>
