<table>
  <caption>Parameters of known planets around stars with X-ray detections within 20 pc</caption>
  <tr><th>Planet Name</th><th>Planet mass</th><th>a</th><th>d ^((1))</th><th></th><th>Age</th><th>B_(dip)^(pol)</th><th>radio flux ^((1))</th><th>f_(ce)</th></tr>
  <tr><td></td><th>[ M_(Jup) ]</th><th>[AU]</th><th>[pc]</th><th>[ _() ]</th><th>[Gyr]</th><th>[G]</th><th>[mJy]</th><th>[MHz]</th></tr>
  <tr><td>Jupiter</td><td>1.00</td><td>5.20</td><td></td><td>1.0</td><td>4.5</td><td>9</td><td>4.E+09</td><td>27</td></tr>
  <tr><td>eps Eridani b</td><td>1.55</td><td>3.39</td><td>3.2</td><td>25.9</td><td>1.7</td><td>19</td><td>6.3</td><td>53</td></tr>
  <tr><td>Gliese 876 b</td><td>1.93</td><td>0.21</td><td>4.7</td><td>0.1</td><td>2.4</td><td>23</td><td>3.1</td><td>66</td></tr>
  <tr><td>Gliese 876 c</td><td>0.56</td><td>0.13</td><td>4.7</td><td>0.1</td><td>2.4</td><td>6</td><td>2.1</td><td>16</td></tr>
  <tr><td>GJ 832 b</td><td>0.64</td><td>3.40</td><td>4.9</td><td>0.2</td><td>2.0</td><td>7</td><td>0.1</td><td>19</td></tr>
  <tr><td>HD 62509 b</td><td>2.90</td><td>1.69</td><td>10.3</td><td>0.3</td><td>5.6</td><td>24</td><td>0.1</td><td>68</td></tr>
  <tr><td>Gl 86 b</td><td>4.01</td><td>0.11</td><td>11.0</td><td>9.4</td><td>2.9</td><td>40</td><td>43.8</td><td>113</td></tr>
  <tr><td>HD 147513 b</td><td>1.00</td><td>1.26</td><td>12.9</td><td>150.4</td><td>0.8</td><td>15</td><td>4.1</td><td>43</td></tr>
  <tr><td>ups And b</td><td>0.69</td><td>0.06</td><td>13.5</td><td>20.2</td><td>1.4</td><td>10</td><td>41.8</td><td>27</td></tr>
  <tr><td>ups And c</td><td>1.98</td><td>0.83</td><td>13.5</td><td>20.2</td><td>1.4</td><td>30</td><td>2.8</td><td>84</td></tr>
  <tr><td>ups And d</td><td>3.95</td><td>2.51</td><td>13.5</td><td>20.2</td><td>1.4</td><td>58</td><td>1.0</td><td>163</td></tr>
  <tr><td>gamma Cephei b</td><td>1.60</td><td>2.04</td><td>13.8</td><td>1.1</td><td>3.6</td><td>16</td><td>0.1</td><td>44</td></tr>
  <tr><td>51 Peg b</td><td>0.47</td><td>0.05</td><td>14.7</td><td>0.2</td><td>6.2</td><td>3</td><td>0.8</td><td>7</td></tr>
  <tr><td>tau Boo b</td><td>3.90</td><td>0.05</td><td>15.0</td><td>198.5</td><td>0.8</td><td>58</td><td>692.2</td><td>161</td></tr>
  <tr><td>HR 810 b</td><td>1.94</td><td>0.91</td><td>15.5</td><td>103.9</td><td>0.8</td><td>30</td><td>5.5</td><td>83</td></tr>
  <tr><td>HD 128311 b</td><td>2.18</td><td>1.10</td><td>16.6</td><td>39.9</td><td>0.9</td><td>33</td><td>2.1</td><td>92</td></tr>
  <tr><td>HD 128311 c</td><td>3.21</td><td>1.76</td><td>16.6</td><td>39.9</td><td>0.9</td><td>48</td><td>1.5</td><td>134</td></tr>
  <tr><td>HD 10647 b</td><td>0.91</td><td>2.10</td><td>17.3</td><td>22.9</td><td>1.4</td><td>14</td><td>0.3</td><td>38</td></tr>
  <tr><td>GJ 3021 b</td><td>3.32</td><td>0.49</td><td>17.6</td><td>170.2</td><td>0.8</td><td>49</td><td>19.5</td><td>138</td></tr>
  <tr><td>HD 27442 b</td><td>1.28</td><td>1.18</td><td>18.1</td><td>1.9</td><td>2.7</td><td>14</td><td>0.1</td><td>39</td></tr>
  <tr><td>HD 87883 b</td><td>1.78</td><td>3.60</td><td>18.1</td><td>2.6</td><td>3.3</td><td>19</td><td>0.0</td><td>54</td></tr>
  <tr><td>HD 189733 b</td><td>1.13</td><td>0.03</td><td>19.3</td><td>17.3</td><td>1.7</td><td>14</td><td>57.1</td><td>39</td></tr>
  <tr><td>HD 192263 b</td><td>0.72</td><td>0.15</td><td>19.9</td><td>7.1</td><td>2.5</td><td>8</td><td>2.4</td><td>23</td></tr>
</table>
