<table>
  <caption>Observed Surface Brightness profiles of VV124.</caption>
  <tr><th>r_(ε)</th><th>μ_(r)</th><th>μ_(g)</th><th>source</th></tr>
  <tr><th>arcmin</th><th>mag/arcsec ^((2))</th><th>mag/arcsec ^((2))</th><td></td></tr>
  <tr><td>0.04</td><td>21.52± 0.06</td><td>21.40± 0.02</td><td>sp</td></tr>
  <tr><td>0.11</td><td>21.45± 0.06</td><td>21.75± 0.07</td><td>sp</td></tr>
  <tr><td>0.19</td><td>21.75± 0.05</td><td>21.94± 0.05</td><td>sp</td></tr>
  <tr><td>0.26</td><td>22.08± 0.06</td><td>22.30± 0.06</td><td>sp</td></tr>
  <tr><td>0.34</td><td>22.41± 0.04</td><td>22.59± 0.06</td><td>sp</td></tr>
  <tr><td>0.41</td><td>22.52± 0.02</td><td>22.67± 0.06</td><td>sp</td></tr>
  <tr><td>0.49</td><td>22.64± 0.04</td><td>22.96± 0.05</td><td>sp</td></tr>
  <tr><td>0.56</td><td>22.90± 0.04</td><td>23.18± 0.04</td><td>sp</td></tr>
  <tr><td>0.63</td><td>23.05± 0.02</td><td>23.48± 0.04</td><td>sp</td></tr>
  <tr><td>0.71</td><td>23.18± 0.04</td><td>23.94± 0.05</td><td>sp</td></tr>
  <tr><td>0.78</td><td>23.29± 0.05</td><td>23.99± 0.04</td><td>sp</td></tr>
  <tr><td>0.86</td><td>23.45± 0.03</td><td>24.06± 0.03</td><td>sp</td></tr>
  <tr><td>0.93</td><td>23.60± 0.03</td><td>24.12± 0.03</td><td>sp</td></tr>
  <tr><td>1.01</td><td>23.81± 0.09</td><td>24.17± 0.03</td><td>sp</td></tr>
  <tr><td>1.08</td><td>24.15± 0.17</td><td>24.34± 0.02</td><td>sp</td></tr>
  <tr><td>1.16</td><td>24.24± 0.25</td><td>24.54± 0.02</td><td>sp</td></tr>
  <tr><td>1.23</td><td>24.28± 0.27</td><td>24.79± 0.02</td><td>sp</td></tr>
  <tr><td>1.30</td><td>24.62± 0.06</td><td>24.92± 0.06</td><td>sc</td></tr>
  <tr><td>1.50</td><td>24.87± 0.06</td><td>25.17± 0.06</td><td>sc</td></tr>
  <tr><td>1.70</td><td>25.22± 0.07</td><td>25.52± 0.07</td><td>sc</td></tr>
  <tr><td>1.90</td><td>25.72± 0.08</td><td>26.02± 0.08</td><td>sc</td></tr>
  <tr><td>2.10</td><td>26.29± 0.10</td><td>26.59± 0.10</td><td>sc</td></tr>
  <tr><td>2.30</td><td>26.70± 0.12</td><td>27.00± 0.12</td><td>sc</td></tr>
  <tr><td>2.50</td><td>27.18± 0.14</td><td>27.48± 0.14</td><td>sc</td></tr>
  <tr><td>2.70</td><td>27.23± 0.14</td><td>27.53± 0.14</td><td>sc</td></tr>
  <tr><td>2.90</td><td>27.67± 0.17</td><td>27.97± 0.17</td><td>sc</td></tr>
  <tr><td>3.10</td><td>28.00± 0.20</td><td>28.30± 0.20</td><td>sc</td></tr>
  <tr><td>3.30</td><td>28.37± 0.25</td><td>28.67± 0.25</td><td>sc</td></tr>
  <tr><td>3.70</td><td>28.98± 0.35</td><td>29.28± 0.35</td><td>sc</td></tr>
  <tr><td>3.90</td><td>29.70± 0.59</td><td>30.00± 0.59</td><td>sc</td></tr>
  <tr><td>4.10</td><td>29.87± 0.65</td><td>30.17± 0.65</td><td>sc</td></tr>
  <tr><td>4.30</td><td>30.05± 0.73</td><td>30.35± 0.73</td><td>sc</td></tr>
  <tr><td>5.30</td><td>29.97± 0.61</td><td>30.27± 0.61</td><td>sc</td></tr>
</table>
