<table>
  <caption>Observation times and neutrino energies in the Kamioka experiment [1,4].</caption>
  <tr><th>Event No.</th><th>t_(obs) (s)</th><th>Energy(MeV)</th></tr>
  <tr><th>1</th><th>0</th><th>21.3± 2.9</th></tr>
  <tr><td>2</td><td>0.107</td><td>14.8± 3.2</td></tr>
  <tr><td>3</td><td>0.303</td><td>8.9± 2.0</td></tr>
  <tr><td>4</td><td>0.324</td><td>10.6± 2.7</td></tr>
  <tr><td>5</td><td>0.507</td><td>14.4± 2.9</td></tr>
  <tr><td>6</td><td>0.686</td><td>7.6± 1.7</td></tr>
  <tr><td>7</td><td>1.541</td><td>36.9± 8.0</td></tr>
  <tr><td>8</td><td>1.728</td><td>22.4± 4.2</td></tr>
  <tr><td>9</td><td>1.915</td><td>21.2± 3.2</td></tr>
  <tr><td>10</td><td>9.219</td><td>10.0± 2.7</td></tr>
  <tr><td>11</td><td>10.433</td><td>14.4± 2.6</td></tr>
  <tr><td>12</td><td>12.439</td><td>10.3± 1.9</td></tr>
</table>
