<table>
  <caption>Best players of the year. For each year we report the best player according to our ranking scheme and those of ATP and ITF. Best year-end ATP players are listed for all years from 1973 on. ITF world champions have started to be nominated since 1978 only.</caption>
  <tr><th>Year</th><th>Prestige</th><th>ATP year-end</th><th>ITF</th></tr>
  <tr><th>1968</th><td>Rod Laver</td><td>-</td><td>-</td></tr>
  <tr><th>1969</th><td>Rod Laver</td><td>-</td><td>-</td></tr>
  <tr><th>1970</th><td>Rod Laver</td><td>-</td><td>-</td></tr>
  <tr><th>1971</th><td>Ken Rosewall</td><td>-</td><td>-</td></tr>
  <tr><th>1972</th><td>Ilie Năstase</td><td>-</td><td>-</td></tr>
  <tr><th>1973</th><td>Tom Okker</td><td>Ilie Năstase</td><td>-</td></tr>
  <tr><th>1974</th><td>Björn Borg</td><td>Jimmy Connors</td><td>-</td></tr>
  <tr><th>1975</th><td>Arthur Ashe</td><td>Jimmy Connors</td><td>-</td></tr>
  <tr><th>1976</th><td>Jimmy Connors</td><td>Jimmy Connors</td><td>-</td></tr>
  <tr><th>1977</th><td>Guillermo Vilas</td><td>Jimmy Connors</td><td>-</td></tr>
  <tr><th>1978</th><td>Björn Borg</td><td>Jimmy Connors</td><td>Björn Borg</td></tr>
  <tr><th>1979</th><td>Björn Borg</td><td>Björn Borg</td><td>Björn Borg</td></tr>
  <tr><th>1980</th><td>John McEnroe</td><td>Björn Borg</td><td>Björn Borg</td></tr>
  <tr><th>1981</th><td>Ivan Lendl</td><td>John McEnroe</td><td>John McEnroe</td></tr>
  <tr><th>1982</th><td>Ivan Lendl</td><td>John McEnroe</td><td>Jimmy Connors</td></tr>
  <tr><th>1983</th><td>Ivan Lendl</td><td>John McEnroe</td><td>John McEnroe</td></tr>
  <tr><th>1984</th><td>Ivan Lendl</td><td>John McEnroe</td><td>John McEnroe</td></tr>
  <tr><th>1985</th><td>Ivan Lendl</td><td>Ivan Lendl</td><td>Ivan Lendl</td></tr>
  <tr><th>1986</th><td>Ivan Lendl</td><td>Ivan Lendl</td><td>Ivan Lendl</td></tr>
  <tr><th>1987</th><td>Stefan Edberg</td><td>Ivan Lendl</td><td>Ivan Lendl</td></tr>
  <tr><th>1988</th><td>Mats Wilander</td><td>Mats Wilander</td><td>Mats Wilander</td></tr>
  <tr><th>1989</th><td>Ivan Lendl</td><td>Ivan Lendl</td><td>Boris Becker</td></tr>
  <tr><th>1990</th><td>Stefan Edberg</td><td>Stefan Edberg</td><td>Ivan Lendl</td></tr>
  <tr><th>1991</th><td>Stefan Edberg</td><td>Stefan Edberg</td><td>Stefan Edberg</td></tr>
  <tr><th>1992</th><td>Pete Sampras</td><td>Jim Courier</td><td>Jim Courier</td></tr>
  <tr><th>1993</th><td>Pete Sampras</td><td>Pete Sampras</td><td>Pete Sampras</td></tr>
  <tr><th>1994</th><td>Pete Sampras</td><td>Pete Sampras</td><td>Pete Sampras</td></tr>
  <tr><th>1995</th><td>Pete Sampras</td><td>Pete Sampras</td><td>Pete Sampras</td></tr>
  <tr><th>1996</th><td>Goran Ivanišević</td><td>Pete Sampras</td><td>Pete Sampras</td></tr>
  <tr><th>1997</th><td>Patrick Rafter</td><td>Pete Sampras</td><td>Pete Sampras</td></tr>
  <tr><th>1998</th><td>Marcelo Ríos</td><td>Pete Sampras</td><td>Pete Sampras</td></tr>
  <tr><th>1999</th><td>Andre Agassi</td><td>Andre Agassi</td><td>Andre Agassi</td></tr>
  <tr><th>2000</th><td>Marat Safin</td><td>Gustavo Kuerten</td><td>Gustavo Kuerten</td></tr>
  <tr><th>2001</th><td>Lleyton Hewitt</td><td>Lleyton Hewitt</td><td>Lleyton Hewitt</td></tr>
  <tr><th>2002</th><td>Lleyton Hewitt</td><td>Lleyton Hewitt</td><td>Lleyton Hewitt</td></tr>
  <tr><th>2003</th><td>Roger Federer</td><td>Andy Roddick</td><td>Andy Roddick</td></tr>
  <tr><th>2004</th><td>Roger Federer</td><td>Roger Federer</td><td>Roger Federer</td></tr>
  <tr><th>2005</th><td>Roger Federer</td><td>Roger Federer</td><td>Roger Federer</td></tr>
  <tr><th>2006</th><td>Roger Federer</td><td>Roger Federer</td><td>Roger Federer</td></tr>
  <tr><th>2007</th><td>Rafael Nadal</td><td>Roger Federer</td><td>Roger Federer</td></tr>
  <tr><th>2008</th><td>Rafael Nadal</td><td>Rafael Nadal</td><td>Rafael Nadal</td></tr>
  <tr><th>2009</th><td>Novak Djoković</td><td>Roger Federer</td><td>Roger Federer</td></tr>
  <tr><th>2010</th><td>Rafael Nadal</td><td>Rafael Nadal</td><td>Rafael Nadal</td></tr>
</table>
