<table>
  <caption>Sources Observed.</caption>
  <tr><td>Source</td><td>α (J2000)</td><td>δ (J2000)</td><td>l</td><td>b</td><td>a</td><td>S(4.9GHz) b</td><td>Number of</td></tr>
  <tr><td>Name</td><td>h m s</td><td>^((o)) ’ ”</td><td>( ^((o)) )</td><td>( ^((o)) )</td><td>(arcmin)</td><td>[Jy]</td><td>f observed</td></tr>
  <tr><td>I1</td><td>06 28 39.50</td><td>04 47 08.0</td><td>206.1</td><td>-2.9</td><td>49.6</td><td>0.017</td><td>2</td></tr>
  <tr><td>I2</td><td>06 29 56.26</td><td>04 26 33.0</td><td>206.5</td><td>-2.7</td><td>42.2</td><td>0.260</td><td>3</td></tr>
  <tr><td>I3</td><td>06 29 57.30</td><td>04 47 45.5</td><td>206.2</td><td>-2.6</td><td>30.6</td><td>0.038</td><td>3</td></tr>
  <tr><td>I6</td><td>06 30 50.04</td><td>05 29 26.6</td><td>205.7</td><td>-2.1</td><td>36.6</td><td>0.013</td><td>2</td></tr>
  <tr><td>I7</td><td>06 31 24.28</td><td>05 02 50.8</td><td>206.2</td><td>-2.1</td><td>9.9</td><td>0.043</td><td>2</td></tr>
  <tr><td>I8</td><td>06 31 34.31</td><td>04 22 34.4</td><td>206.8</td><td>-2.4</td><td>34.4</td><td>0.025</td><td>3</td></tr>
  <tr><td>I10</td><td>06 32 31.12</td><td>05 30 32.7</td><td>205.9</td><td>-1.7</td><td>35.2</td><td>0.024</td><td>2</td></tr>
  <tr><td>I12</td><td>06 33 03.14</td><td>04 44 56.0</td><td>206.6</td><td>-1.9</td><td>20.6</td><td>0.047</td><td>3</td></tr>
  <tr><td>I14</td><td>06 33 46.34</td><td>05 36 54.0</td><td>205.9</td><td>-1.4</td><td>48.9</td><td>0.070</td><td>3</td></tr>
  <tr><td>I15</td><td>06 34 00.01</td><td>05 10 42.8</td><td>206.3</td><td>-1.5</td><td>34.2</td><td>0.021</td><td>3</td></tr>
  <tr><td>I16</td><td>06 34 11.48</td><td>05 25 32.0</td><td>206.1</td><td>-1.3</td><td>44.7</td><td>0.020</td><td>2</td></tr>
  <tr><td>I18</td><td>06 35 25.96</td><td>05 14 15.3</td><td>206.4</td><td>-1.2</td><td>55.4</td><td>0.028</td><td>2</td></tr>
  <tr><td>O1</td><td>06 24 18.84</td><td>04 57 01.9</td><td>205.4</td><td>-3.7</td><td>113.6</td><td>0.150</td><td>2</td></tr>
  <tr><td>O2</td><td>06 25 51.89</td><td>04 35 40.2</td><td>205.9</td><td>-3.6</td><td>92.8</td><td>0.340</td><td>3</td></tr>
  <tr><td>O4</td><td>06 27 21.09</td><td>05 45 37.8</td><td>205.1</td><td>-2.7</td><td>84.0</td><td>0.090</td><td>3</td></tr>
  <tr><td>O5</td><td>06 27 36.73</td><td>06 32 52.1</td><td>204.4</td><td>-2.3</td><td>115.7</td><td>0.066</td><td>3</td></tr>
  <tr><td>O7</td><td>06 27 38.32</td><td>03 24 59.6</td><td>207.2</td><td>-3.7</td><td>111.7</td><td>0.220</td><td>2</td></tr>
  <tr><td>O9</td><td>06 30 52.53</td><td>06 24 50.5</td><td>204.9</td><td>-1.6</td><td>89.6</td><td>0.050</td><td>3</td></tr>
  <tr><td>O11</td><td>06 33 32.77</td><td>04 00 06.0</td><td>207.3</td><td>-2.1</td><td>61.5</td><td>0.110</td><td>2</td></tr>
  <tr><td>O14</td><td>06 35 51.95</td><td>03 42 18.0</td><td>207.9</td><td>-1.8</td><td>94.9</td><td>0.029</td><td>2</td></tr>
  <tr><td>O15</td><td>06 36 05.69</td><td>04 32 40.5</td><td>207.1</td><td>-1.3</td><td>66.9</td><td>0.410</td><td>3</td></tr>
  <tr><td>O16</td><td>06 37 23.05</td><td>04 05 44.1</td><td>207.7</td><td>-1.3</td><td>96.3</td><td>0.029</td><td>3</td></tr>
  <tr><td>O17</td><td>06 37 36.18</td><td>05 55 32.5</td><td>206.1</td><td>-0.4</td><td>103.4</td><td>0.038</td><td>2</td></tr>
</table>
