<table>
  <caption>Average underground muon size N μ u of events and the fraction of events with N μ u > 990 . All QGP simulations were supplemented by VENUS.</caption>
  <tr><th></th><th></th><th>fraction of events</th></tr>
  <tr><th>model</th><td>average N^(u)_(μ)</td><td>with N^(u)_(μ)>990</td></tr>
  <tr><th></th><td></td><td>(in %)</td></tr>
  <tr><th>VENUS p</th><td>464</td><td>6.3 ± 0.6</td></tr>
  <tr><th>QGSJET p</th><td>378</td><td>3.7 ± 0.4</td></tr>
  <tr><th>VENUS Fe</th><td>807</td><td>20.1 ± 1.1</td></tr>
  <tr><th>QGSJET Fe</th><td>709</td><td>13.6 ± 0.9</td></tr>
  <tr><th>QGP(0.1,0.06)</th><td>849</td><td>21.8 ± 1.2</td></tr>
  <tr><th>QGP(0.1,0.12)</th><td>843</td><td>21.7 ± 1.2</td></tr>
  <tr><th>QGP(0.1,0.3)</th><td>829</td><td>20.4 ± 1.1</td></tr>
  <tr><th>QGP(0.1,1.0)</th><td>819</td><td>20.4 ± 1.1</td></tr>
  <tr><th>QGP(0.2,0.06)</th><td>868</td><td>23.4 ± 1.2</td></tr>
  <tr><th>QGP(0.2,0.12)</th><td>871</td><td>22.9 ± 1.2</td></tr>
  <tr><th>QGP(0.2,0.3)</th><td>867</td><td>22.5 ± 1.2</td></tr>
  <tr><th>QGP(0.2,1.0)</th><td>809</td><td>19.3 ± 1.1</td></tr>
  <tr><th>QGP(0.4,0.06)</th><td>967</td><td>27.0 ± 1.3</td></tr>
  <tr><th>QGP(0.4,0.12)</th><td>955</td><td>26.5 ± 1.3</td></tr>
  <tr><th>QGP(0.4,0.3)</th><td>904</td><td>24.3 ± 1.2</td></tr>
  <tr><th>QGP(0.4,1.0)</th><td>835</td><td>22.0 ± 1.2</td></tr>
</table>
