<table>
  <caption>Convective shifts in m ⁢ s - 1 of the studied lines from μ = 1.0 to μ = 0.3 .</caption>
  <tr><th>Element</th><th>λ_(0) (Å)</th><th>μ=1.0</th><th>μ=0.9</th><th>μ=0.8</th><th>μ=0.7</th><th>μ=0.6</th><th>μ=0.5</th><th>μ=0.4</th><th>μ=0.3</th></tr>
  <tr><th>C i</th><th>5380.34</th><td>-948</td><td>-936</td><td>-922</td><td>-910</td><td>-897</td><td>-888</td><td>-880</td><td>-844</td></tr>
  <tr><th>Fe i</th><th>5250.21</th><td>-294</td><td>-372</td><td>-410</td><td>-426</td><td>-420</td><td>-394</td><td>-346</td><td>-259</td></tr>
  <tr><th>Fe i</th><th>5250.65</th><td>-304</td><td>-354</td><td>-370</td><td>-369</td><td>-348</td><td>-308</td><td>-245</td><td>-140</td></tr>
  <tr><th>Fe i</th><th>5576.09</th><td>-334</td><td>-378</td><td>-388</td><td>-383</td><td>-360</td><td>-317</td><td>-249</td><td>-140</td></tr>
  <tr><th>Fe i</th><th>6082.71</th><td>-441</td><td>-495</td><td>-522</td><td>-536</td><td>-531</td><td>-511</td><td>-473</td><td>-397</td></tr>
  <tr><th>Fe i</th><th>6301.50</th><td>-307</td><td>-349</td><td>-358</td><td>-351</td><td>-325</td><td>-279</td><td>-211</td><td>-101</td></tr>
  <tr><th>Fe i</th><th>6302.49</th><td>-335</td><td>-387</td><td>-404</td><td>-403</td><td>-381</td><td>-342</td><td>-280</td><td>-176</td></tr>
  <tr><th>Fe i</th><th>7090.38</th><td>-352</td><td>-396</td><td>-409</td><td>-407</td><td>-389</td><td>-354</td><td>-302</td><td>-210</td></tr>
  <tr><th>Ca ii</th><th>8498.01</th><td>-265</td><td>-288</td><td>-289</td><td>-275</td><td>-248</td><td>-206</td><td>-148</td><td>-70</td></tr>
  <tr><th>Ca ii</th><th>8542.05</th><td>-335</td><td>-364</td><td>-374</td><td>-372</td><td>-359</td><td>-337</td><td>-307</td><td>-269</td></tr>
  <tr><th>Ca ii</th><th>8662.16</th><td>-272</td><td>-294</td><td>-293</td><td>-279</td><td>-251</td><td>-208</td><td>-149</td><td>-68</td></tr>
</table>
