<table>
  <caption>Propagated and source isotopic abundances ( 16 O=100).</caption>
  <tr><th>Be</th><th>4, 7</th><th>3.62</th><th>-</th></tr>
  <tr><th></th><th>4, 9</th><td>3.21</td><td>-</td></tr>
  <tr><th></th><th>4,10</th><td>0.337</td><td>-</td></tr>
  <tr><th>B</th><th>5,10</th><td>7.46</td><td>-</td></tr>
  <tr><th></th><th>5,11</th><td>19.2</td><td>-</td></tr>
  <tr><th>C</th><th>6,12</th><td>94.2</td><td>69.4</td></tr>
  <tr><th></th><th>6,13</th><td>7.66</td><td>0.681</td></tr>
  <tr><th>N</th><th>7,14</th><td>12.0</td><td>4.76</td></tr>
  <tr><th></th><th>7,15</th><td>12.6</td><td>-</td></tr>
  <tr><th>O</th><th>8,16</th><td>100.</td><td>100.</td></tr>
  <tr><th></th><th>8,17</th><td>1.21</td><td>-</td></tr>
  <tr><th></th><th>8,18</th><td>1.37</td><td>-</td></tr>
  <tr><th>F</th><th>9,19</th><td>1.55</td><td>-</td></tr>
  <tr><th>Ne</th><th>10,20</th><td>8.24</td><td>8.44</td></tr>
  <tr><th></th><th>10,21</th><td>1.52</td><td>-</td></tr>
  <tr><th></th><th>10,22</th><td>4.21</td><td>2.53</td></tr>
  <tr><th>Na</th><th>11,23</th><td>2.56</td><td>0.572</td></tr>
  <tr><th>Mg</th><th>12,24</th><td>13.3</td><td>17.0</td></tr>
  <tr><th></th><th>12,25</th><td>2.66</td><td>2.20</td></tr>
  <tr><th></th><th>12,26</th><td>2.67</td><td>2.74</td></tr>
  <tr><th>Al</th><th>13,26</th><td>0.172</td><td>-</td></tr>
  <tr><th></th><th>13,27</th><td>2.40</td><td>1.47</td></tr>
  <tr><th>Si</th><th>14,28</th><td>12.1</td><td>18.5</td></tr>
  <tr><th></th><th>14,29</th><td>1.48</td><td>1.63</td></tr>
  <tr><th></th><th>14,30</th><td>0.727</td><td>0.545</td></tr>
  <tr><th>P</th><th>15,31</th><td>0.458</td><td>0.218</td></tr>
</table>
