<table>
  <caption>Secondary standard stars within 4 arcmin of the afterglow position (Fig. LABEL:fig:finding ).</caption>
  <tr><th>#</th><th>R.A., Dec. (J2000)</th><th>g^()</th><th>r^()</th><th>i^()</th><th>z^()</th><th>J</th><th>H</th><th>K_(s)</th></tr>
  <tr><th>1</th><th>06:20:15.23 - 55:12:45.4</th><td>14.426(01)</td><td>13.727(01)</td><td>13.269(01)</td><td>13.102(01)</td><td>12.753(01)</td><td>12.613(02)</td><td>12.880(02)</td></tr>
  <tr><th>2</th><th>06:20:13.45 - 55:12:32.5</th><td>19.427(05)</td><td>18.987(05)</td><td>18.593(05)</td><td>18.478(08)</td><td>18.267(05)</td><td>18.219(10)</td><td>18.435(23)</td></tr>
  <tr><th>3</th><th>06:20:13.87 - 55:12:17.1</th><td>17.291(01)</td><td>16.982(01)</td><td>16.709(01)</td><td>16.668(02)</td><td>16.568(03)</td><td>16.673(03)</td><td>16.780(07)</td></tr>
  <tr><th>4</th><th>06:20:14.65 - 55:12:01.1</th><td>17.513(02)</td><td>17.366(02)</td><td>17.103(02)</td><td>17.072(03)</td><td>16.988(03)</td><td>17.100(03)</td><td>17.208(10)</td></tr>
  <tr><th>5</th><th>06:20:12.70 - 55:11:55.1</th><td>20.734(14)</td><td>19.460(08)</td><td>18.017(03)</td><td>17.450(04)</td><td>16.886(03)</td><td>16.778(04)</td><td>16.853(07)</td></tr>
  <tr><th>6</th><th>06:20:12.21 - 55:11:45.9</th><td>18.307(02)</td><td>18.061(03)</td><td>17.734(03)</td><td>17.643(04)</td><td>17.508(04)</td><td>17.509(05)</td><td>17.711(23)</td></tr>
  <tr><th>7</th><th>06:20:14.51 - 55:11:45.1</th><td>19.989(08)</td><td>18.962(05)</td><td>18.204(04)</td><td>17.946(05)</td><td>17.561(03)</td><td>17.341(05)</td><td>17.378(11)</td></tr>
  <tr><th>8</th><th>06:20:06.18 - 55:12:02.1</th><td>20.499(05)</td><td>19.456(03)</td><td>18.453(03)</td><td>18.077(02)</td><td>17.598(06)</td><td>17.353(08)</td><td>17.556(05)</td></tr>
  <tr><th>9</th><th>06:19:58.96 - 55:12:57.4</th><td>17.430(03)</td><td>17.413(02)</td><td>17.206(02)</td><td>17.185(01)</td><td>17.123(04)</td><td>17.312(07)</td><td>17.553(07)</td></tr>
  <tr><th>10</th><th>06:19:58.75 - 55:10:40.3</th><td>19.275(03)</td><td>18.121(02)</td><td>17.026(02)</td><td>16.613(01)</td><td>16.110(05)</td><td>16.022(05)</td><td>16.143(02)</td></tr>
  <tr><th>11</th><th>06:19:56.64 - 55:09:57.4</th><td>20.949(14)</td><td>20.212(14)</td><td>19.672(13)</td><td>19.389(14)</td><td>18.794(08)</td><td>18.609(12)</td><td>18.403(13)</td></tr>
  <tr><th>12</th><th>06:20:16.00 - 55:10:28.9</th><td>18.087(03)</td><td>17.755(02)</td><td>17.442(03)</td><td>17.370(01)</td><td>17.168(05)</td><td>17.218(06)</td><td>17.313(04)</td></tr>
</table>
