<table>
  <caption>Quasars without DLAs detected.</caption>
  <tr><th>Quasar</th><th>z_(em)</th><th>z_(min)</th><th>z_(max)</th><th>Ref ^((a))</th></tr>
  <tr><td>Q 0001+0842</td><td>3.241</td><td>2.024</td><td>3.229</td><td>21</td></tr>
  <tr><td>Q 0002+151</td><td>1.8990</td><td>0.4723</td><td>0.6034</td><td>3</td></tr>
  <tr><td>Q 0002+151</td><td>1.8990</td><td>1.1198</td><td>1.5500</td><td>3</td></tr>
  <tr><td>Q 0003+158</td><td>0.4500</td><td>0.0080</td><td>0.4355</td><td>3</td></tr>
  <tr><td>PSS J0003+2730</td><td>4.240</td><td>2.718</td><td>4.188</td><td>26</td></tr>
  <tr><td>MG 0004+1359</td><td>3.25</td><td>1.899</td><td>3.207</td><td>2</td></tr>
  <tr><td>Q 0004+1711</td><td>2.898</td><td>2.002</td><td>2.851</td><td>21</td></tr>
  <tr><td>Q 0006+0230</td><td>2.09</td><td>1.787</td><td>2.059</td><td>4</td></tr>
  <tr><td>Q 0006+0200</td><td>2.35</td><td>1.634</td><td>2.317</td><td>4</td></tr>
  <tr><td>Q 0007-0004</td><td>2.26</td><td>1.634</td><td>2.227</td><td>4</td></tr>
  <tr><td>Q 0007-000</td><td>2.29</td><td>1.670</td><td>2.260</td><td>16</td></tr>
  <tr><td>MG 0007+0141</td><td>2.90</td><td>1.882</td><td>2.861</td><td>2</td></tr>
  <tr><td>Q 0007+106</td><td>0.0890</td><td>0.0080</td><td>0.0781</td><td>3</td></tr>
  <tr><td>Q 0009-0138</td><td>1.99</td><td>1.634</td><td>1.960</td><td>4</td></tr>
  <tr><td>Q 0009+0219</td><td>2.66</td><td>1.784</td><td>2.623</td><td>4</td></tr>
  <tr><td>Q 0009-0215</td><td>2.11</td><td>1.634</td><td>2.079</td><td>4</td></tr>
  <tr><td>Q 0014+8118</td><td>3.380</td><td>1.928</td><td>3.340</td><td>21</td></tr>
  <tr><td>Q 0014-0256</td><td>1.85</td><td>1.729</td><td>1.821</td><td>4</td></tr>
  <tr><td>Q 0015+0239</td><td>2.47</td><td>1.784</td><td>2.435</td><td>4</td></tr>
  <tr><td>Q 0016+0045</td><td>2.31</td><td>1.651</td><td>2.277</td><td>4</td></tr>
  <tr><td>Q 0018-0220</td><td>2.56</td><td>1.634</td><td>2.524</td><td>4</td></tr>
  <tr><td>Q 0018+0047</td><td>1.83</td><td>1.655</td><td>1.802</td><td>4</td></tr>
  <tr><td>Q 0020+0217</td><td>1.80</td><td>1.665</td><td>1.772</td><td>4</td></tr>
  <tr><td>Q 0022+0150</td><td>2.77</td><td>1.791</td><td>2.732</td><td>4</td></tr>
  <tr><td>Q 0023+0010</td><td>1.90</td><td>1.657</td><td>1.871</td><td>4</td></tr>
  <tr><td>Q 0025-0151</td><td>2.08</td><td>1.634</td><td>2.049</td><td>4</td></tr>
  <tr><td>Q 0026+0158</td><td>1.89</td><td>1.727</td><td>1.861</td><td>4</td></tr>
