<table>
  <caption>Journal of observations of four stars for which the magnetic field is not detected.</caption>
  <tr><td>Star</td><td>Date</td><td>Instrument</td><td>HJD</td><td>UT time</td><td>T _(exp)</td><td>S/N</td><td>φ_(rot)</td><td>RV</td><td>σ_(LSD)</td></tr>
  <tr><td></td><td></td><td></td><td>(245 4000+)</td><td>(h:m:s)</td><td>(s)</td><td></td><td></td><td>( )</td><td>(10 ^((-4)I_{c) )</td></tr>
  <tr><td>XO-3</td><td>14oct09</td><td>ESPaDOnS</td><td>753.914090</td><td>09:50:38</td><td>4 × 860</td><td>310</td><td>0.8911</td><td>-12.663</td><td>0.90</td></tr>
  <tr><td>XO-3</td><td>14oct09</td><td>ESPaDOnS</td><td>754.007340</td><td>12:04:54</td><td>4 × 860</td><td>250</td><td>0.9156</td><td>-12.706</td><td>1.14</td></tr>
  <tr><td>XO-3</td><td>14oct09</td><td>ESPaDOnS</td><td>754.101130</td><td>14:19:58</td><td>4 × (860</td><td>310</td><td>0.9403</td><td>-12.730</td><td>0.87</td></tr>
  <tr><td>XO-3</td><td>15oct09</td><td>ESPaDOnS</td><td>754.951580</td><td>10:44:35</td><td>4 × 860</td><td>290</td><td>1.1641</td><td>-11.998</td><td>0.93</td></tr>
  <tr><td>XO-3</td><td>15oct09</td><td>ESPaDOnS</td><td>755.030280</td><td>12:37:55</td><td>4 × 860</td><td>310</td><td>1.1848</td><td>-11.840</td><td>0.87</td></tr>
  <tr><td>XO-3</td><td>15oct09</td><td>ESPaDOnS</td><td>755.123800</td><td>14:52:35</td><td>4 × 860</td><td>240</td><td>1.2094</td><td>-11.590</td><td>1.14</td></tr>
  <tr><td>XO-3</td><td>16oct09</td><td>ESPaDOnS</td><td>755.929600</td><td>10:12:55</td><td>4 × 860</td><td>130</td><td>1.4215</td><td>-10.170</td><td>2.27</td></tr>
  <tr><td>XO-3</td><td>16oct09</td><td>ESPaDOnS</td><td>756.022450</td><td>12:26:37</td><td>4 × 860</td><td>100</td><td>1.4459</td><td>-10.398</td><td>3.38</td></tr>
  <tr><td>XO-3</td><td>16oct09</td><td>ESPaDOnS</td><td>756.129000</td><td>15:00:03</td><td>4 × 860</td><td>50</td><td>1.4739</td><td>-10.237</td><td>9.12</td></tr>
  <tr><td>XO-3</td><td>17oct09</td><td>ESPaDOnS</td><td>756.896140</td><td>09:24:42</td><td>4 × 860</td><td>160</td><td>1.6758</td><td>-12.451</td><td>1.88</td></tr>
  <tr><td>XO-3</td><td>17oct09</td><td>ESPaDOnS</td><td>757.009760</td><td>12:08:19</td><td>4 × 860</td><td>90</td><td>1.7057</td><td>-12.285</td><td>3.81</td></tr>
  <tr><td>XO-3</td><td>18oct09</td><td>ESPaDOnS</td><td>757.890810</td><td>09:17:01</td><td>4 × 860</td><td>310</td><td>1.9376</td><td>-12.478</td><td>0.89</td></tr>
  <tr><td>XO-3</td><td>18oct09</td><td>ESPaDOnS</td><td>757.999710</td><td>11:53:49</td><td>4 × 860</td><td>290</td><td>1.9662</td><td>-12.338</td><td>0.92</td></tr>
  <tr><td>XO-3</td><td>18oct09</td><td>ESPaDOnS</td><td>758.092700</td><td>14:07:44</td><td>4 × 860</td><td>300</td><td>1.9907</td><td>-12.175</td><td>0.91</td></tr>
  <tr><td>XO-3</td><td>19oct09</td><td>ESPaDOnS</td><td>758.924770</td><td>10:05:53</td><td>4 × 860</td><td>300</td><td>2.2097</td><td>-9.862</td><td>0.92</td></tr>
  <tr><td>XO-3</td><td>19oct09</td><td>ESPaDOnS</td><td>759.028770</td><td>12:35:39</td><td>4 × 860</td><td>300</td><td>2.2370</td><td>-10.000</td><td>0.89</td></tr>
  <tr><td>XO-3</td><td>19oct09</td><td>ESPaDOnS</td><td>759.122950</td><td>14:51:16</td><td>4 × 860</td><td>290</td><td>2.2618</td><td>-10.271</td><td>0.95</td></tr>
  <tr><td>XO-3</td><td>20oct09</td><td>ESPaDOnS</td><td>759.898910</td><td>09:28:38</td><td>4 × 860</td><td>290</td><td>2.4660</td><td>-12.298</td><td>0.94</td></tr>
  <tr><td>XO-3</td><td>20oct09</td><td>ESPaDOnS</td><td>759.987590</td><td>11:36:20</td><td>4 × 860</td><td>290</td><td>2.4894</td><td>-12.440</td><td>0.93</td></tr>
  <tr><td>XO-3</td><td>20oct09</td><td>ESPaDOnS</td><td>760.076200</td><td>13:43:56</td><td>4 × 860</td><td>290</td><td>2.5127</td><td>-12.540</td><td>0.94</td></tr>
  <tr><td>HAT-P-2</td><td>26jun07</td><td>ESPaDOnS</td><td>277.780050</td><td>06:38:01</td><td>4 × 900</td><td>470</td><td>0.6472</td><td>-19.115</td><td>0.55</td></tr>
  <tr><td>HAT-P-2</td><td>27jun07</td><td>ESPaDOnS</td><td>278.797830</td><td>07:03:38</td><td>4 × 800</td><td>500</td><td>0.9082</td><td>-19.254</td><td>0.51</td></tr>
  <tr><td>HAT-P-2</td><td>28jun07</td><td>ESPaDOnS</td><td>279.793500</td><td>06:57:25</td><td>4 × 900</td><td>500</td><td>1.1635</td><td>-19.490</td><td>0.51</td></tr>
  <tr><td>HAT-P-2</td><td>01jul07</td><td>ESPaDOnS</td><td>282.791670</td><td>06:54:50</td><td>4 × 900</td><td>500</td><td>1.9322</td><td>-19.164</td><td>0.53</td></tr>
  <tr><td>Corot-7</td><td>05jan10</td><td>Narval</td><td>1202.515870</td><td>24:15:19</td><td>4 × 2000</td><td>120</td><td>52.9038</td><td>31.264</td><td>3.08</td></tr>
  <tr><td>Corot-7</td><td>06jan10</td><td>Narval</td><td>1203.495410</td><td>23:45:52</td><td>4 × 2000</td><td>80</td><td>53.2805</td><td>31.226</td><td>4.87</td></tr>
  <tr><td>Corot-7</td><td>18jan10</td><td>Narval</td><td>1215.489870</td><td>23:38:10</td><td>4 × 2000</td><td>90</td><td>57.8938</td><td>31.234</td><td>4.73</td></tr>
  <tr><td>Corot-7</td><td>27jan10</td><td>Narval</td><td>1224.459390</td><td>22:54:42</td><td>4 × 2000</td><td>130</td><td>61.3436</td><td>31.188</td><td>2.87</td></tr>
</table>
