<table>
  <caption>Basic stellar properties of the maximally rotating configuration and percental increase compared to the nonrotating case. r p / r e is the ratio of polar to equatorial coordinate radius and Ω K / 2 ⁢ π represents the Kepler-limit, given in kHz.</caption>
  <tr><th>EoS</th><th>r_(p)/r_(e)</th><th>Ω_(K)/2</th><th>M (M_())</th><th>R_(e) (km)</th></tr>
  <tr><th>II</th><td>0.564</td><td>1.393</td><td>2.61 (+37%)</td><td>15.64 (+35%)</td></tr>
  <tr><th></th><td>0.546</td><td>0.998</td><td>1.94 (+29%)</td><td>18.77 (+42%)</td></tr>
  <tr><th>A</th><td>0.558</td><td>1.759</td><td>1.97 (+22%)</td><td>12.71 (+34%)</td></tr>
  <tr><th></th><td>0.537</td><td>1.282</td><td>1.64 (+31%)</td><td>15.05 (+43%)</td></tr>
  <tr><th>P0.66</th><td>0.555</td><td>2.180</td><td>1.58 (+22%)</td><td>10.24 (+35%)</td></tr>
  <tr><th></th><td>0.540</td><td>1.775</td><td>1.42 (+29%)</td><td>11.50 (+41%)</td></tr>
  <tr><th>P1.0</th><td>0.579</td><td>0.966</td><td>1.80 (+19%)</td><td>18.57 (+39%)</td></tr>
  <tr><th></th><td>0.570</td><td>0.853</td><td>1.70 (+21%)</td><td>19.83 (+41%)</td></tr>
  <tr><th>P1.2</th><td>0.597</td><td>0.777</td><td>1.81 (+15%)</td><td>21.39 (+39%)</td></tr>
  <tr><th></th><td>0.593</td><td>0.543</td><td>1.57 (+19%)</td><td>26.19 (+42%)</td></tr>
  <tr><th>P1.4</th><td>0.62</td><td>0.538</td><td>2.13 (+12%)</td><td>28.55 (+38%)</td></tr>
  <tr><th></th><td>0.61</td><td>0.445</td><td>2.07 (+13%)</td><td>32.64 (+41%)</td></tr>
</table>
