<table>
  <caption>Broken power-law fit for absorbed objects</caption>
  <tr><th>6 Source</th><th>z</th><th>N_(H) (Gal.)</th><th>Observed break energy</th><th>ΔΓ</th><th>χ^(2) /dof a</th><th>χ^(2) /dof b</th></tr>
  <tr><td></td><th></th><th>(10 ^((20)) cm ^((-2)) )</th><th>(keV)</th><th>( Γ_()-Γ_() )</th><th>(Broken)</th><th>(Absorbed)</th></tr>
  <tr><td>7C 1428+4218</td><td>4.715</td><td>1.18</td><td>0.91_(-0.24)^(+0.29)</td><td>0.36± 0.21</td><td>0.95</td><td>1.04</td></tr>
  <tr><td>QSO J0525-3343</td><td>4.413</td><td>2.28</td><td>0.51_(-0.05)^(+0.31)</td><td>1.78± 0.21</td><td>0.98</td><td>0.98</td></tr>
  <tr><td>QSO B1026-084</td><td>4.276</td><td>4.49</td><td>0.85_(-0.30)^(+0.46)</td><td>0.46± 0.82</td><td>0.90</td><td>0.98</td></tr>
  <tr><td>QSO B0014+810</td><td>3.366</td><td>13.60</td><td>0.77_(-0.14)^(+0.26)</td><td>0.73± 0.46</td><td>0.93</td><td>0.98</td></tr>
  <tr><td>RX J122135.6+280613</td><td>3.305</td><td>2.01</td><td>0.63_(-0.13)^(+0.47)</td><td>0.86± 1.36</td><td>1.15</td><td>1.02</td></tr>
  <tr><td>CGRaBS J2129-1538</td><td>3.280</td><td>4.92</td><td>0.83_(-0.16)^(+0.11)</td><td>0.59± 0.28</td><td>0.99</td><td>0.98</td></tr>
  <tr><td>QSO B0537-286</td><td>3.104</td><td>2.22</td><td>0.55_(-0.04)^(+0.35)</td><td>0.64± 0.83</td><td>0.98</td><td>0.98</td></tr>
  <tr><td>QSO B1524+517</td><td>2.883</td><td>1.66</td><td>0.98_(-0.11)^(+0.19)</td><td>1.04± 0.27</td><td>0.80</td><td>0.86</td></tr>
  <tr><td>RBS 315</td><td>2.690</td><td>9.26</td><td>0.95_(-0.04)^(+0.06)</td><td>1.18± 0.12</td><td>1.02</td><td>1.00</td></tr>
  <tr><td>QSO J2354-1513</td><td>2.675</td><td>2.51</td><td>0.50_(-0.03)^(+0.21)</td><td>1.78± 0.62</td><td>1.04</td><td>1.05</td></tr>
  <tr><td>QSO J0555+3948</td><td>2.363</td><td>28.20</td><td>2.59_(-0.64)^(+2.12)</td><td>-0.39± 0.27</td><td>0.99</td><td>0.97</td></tr>
  <tr><td>QSO B2149-306</td><td>2.345</td><td>1.61</td><td>3.11_(-0.99)^(+5.46)</td><td>-0.10± 0.06</td><td>0.99</td><td>1.00</td></tr>
  <tr><td>4C 71.07</td><td>2.172</td><td>2.85</td><td>9.48_(-0.42)^(+0.60)</td><td>-1.17± 0.66</td><td>1.06</td><td>1.08</td></tr>
  <tr><td>SDSS J110449.13+381811.6</td><td>1.942</td><td>1.91</td><td>0.72_(-0.07)^(+0.13)</td><td>0.36± 0.11</td><td>1.12</td><td>1.08</td></tr>
  <tr><td>QSO B2202-0209</td><td>1.770</td><td>5.50</td><td>0.59_(-0.06)^(+0.04)</td><td>1.34± 0.56</td><td>1.11</td><td>1.02</td></tr>
  <tr><td>QSO B1115+080A</td><td>1.736</td><td>3.73</td><td>1.00_(-0.12)^(+0.12)</td><td>0.73± 0.14</td><td>0.84</td><td>0.88</td></tr>
  <tr><td>QSO B0235+1624</td><td>0.940</td><td>7.70</td><td>0.72_(-0.02)^(+0.02)</td><td>2.31± 0.19</td><td>1.13</td><td>1.01</td></tr>
  <tr><td>RX J111750.5+075712</td><td>0.698</td><td>3.46</td><td>0.73_(-0.10)^(+0.14)</td><td>1.19± 0.34</td><td>1.30</td><td>1.06</td></tr>
  <tr><td>2MASS J08404758+1312238</td><td>0.680</td><td>4.00</td><td>0.77_(-0.09)^(+0.10)</td><td>1.07± 0.37</td><td>1.09</td><td>1.03</td></tr>
  <tr><td>QSO B1207+39</td><td>0.615</td><td>2.23</td><td>1.00_(-0.05)^(+0.07)</td><td>0.44± 0.03</td><td>1.02</td><td>1.06</td></tr>
  <tr><td>QSO B1334-127</td><td>0.539</td><td>5.16</td><td>0.79_(-0.26)^(+0.36)</td><td>0.17± 0.20</td><td>0.96</td><td>0.96</td></tr>
  <tr><td>RX J1626.4+3513</td><td>0.497</td><td>1.40</td><td>1.52_(-0.46)^(+0.44)</td><td>0.46± 0.27</td><td>0.90</td><td>0.94</td></tr>
  <tr><td>Note a: Goodness of fit for the broken power-law model. Note b: Goodness of fit for the absorbed power-law model.</td><td></td><td></td><td></td><td></td><td></td><td></td></tr>
</table>
