<table>
  <caption>Parameters for glitching pulsars</caption>
  <tr><td>PSR J</td><td>R.A.(J2000)</td><td>Dec.(J2000)</td><td>DM</td><td>MJD Range</td><td>σ_(W)</td><td>Ref.</td></tr>
  <tr><td></td><td>(h m s)</td><td>( )</td><td>(cm ^((-3)) pc)</td><td></td><td>( μ s)</td><td>Posn,DM</td></tr>
  <tr><td>0835 - 4510</td><td>08:35:20.68(2)</td><td>- 45:10:35.8(3) ^((b))</td><td>!!68.094(4)</td><td>-</td><td>-</td><td>1,5</td></tr>
  <tr><td>1048 - 5832</td><td>10:48:12.2(1)</td><td>- 58:32:05.8(8)</td><td>!129.10(1)</td><td>49043–50536</td><td>1150</td><td>5,1</td></tr>
  <tr><td>1105 - 6107</td><td>11:05:26.17(4)</td><td>- 61:07:51.4(3)</td><td>!271.01(4)</td><td>49176–50402</td><td>1080</td><td>5,2</td></tr>
  <tr><td>1123 - 6259</td><td>11:23:55.549(12)</td><td>- 62:59:10.74(9)</td><td>!223.26(3)</td><td>49708–51155</td><td>785</td><td>5,3</td></tr>
  <tr><td>1341 - 6220</td><td>13:41:42.63(8)</td><td>- 62:20:20.7(5)</td><td>!717.3(6)</td><td>48874–49888</td><td>-</td><td>5,5</td></tr>
  <tr><td>1614 - 5047</td><td>16:14:11.29(3)</td><td>- 50:48:03.5(5)</td><td>!582.8(3)</td><td>50269–50778</td><td>736</td><td>5,1</td></tr>
  <tr><td>1709 - 4428</td><td>17:09:42.728(2)</td><td>- 44:29:08.24(6)</td><td>!!75.69(5)</td><td>48928–51156</td><td>211</td><td>5,1</td></tr>
  <tr><td>1731 - 4744</td><td>17:31:42.103(5)</td><td>- 47:44:34.56(14)</td><td>!123.33(2)</td><td>49415–50704</td><td>351</td><td>5,5</td></tr>
  <tr><td>1801 - 2304</td><td>18:01:19.829(9)</td><td>- 23:04:44.2(2)</td><td>1074(6)</td><td>-</td><td>-</td><td>4,1</td></tr>
  <tr><td>1801 - 2451</td><td>18:01:00.223(7)</td><td>- 24:51:27.1(1)</td><td>!289(1)</td><td>-</td><td>-</td><td>1,1</td></tr>
  <tr><td>1803 - 2137</td><td>18:03:51.35(3)</td><td>- 21:37:07.2(5)</td><td>!233.9(3)</td><td>-</td><td>-</td><td>1,1</td></tr>
</table>
