<table>
  <caption>Nitrogen abundances from NH band synthesis for a set of comparison stars (without giant planets). Last column lists χ t ⁢ o ⁢ t 2 values.</caption>
  <tr><th>Star</th><th>T_()</th><th></th><th>_(t)</th><th>[Fe/H]</th><th>[N/H]</th><th>χ^(2)_(tot)</th></tr>
  <tr><td></td><th>(K)</th><th>(cm s ^((-2)) )</th><th>(km s ^((-1)) )</th><th></th><th></th><td></td></tr>
  <tr><td>HD 1461</td><td>5785± 50</td><td>4.47± 0.15</td><td>1.00± 0.10</td><td>0.18± 0.05</td><td>0.25± 0.13</td><td>6.72</td></tr>
  <tr><td>HD 1581</td><td>5956± 44</td><td>4.39± 0.13</td><td>1.07± 0.09</td><td>-0.14± 0.05</td><td>-0.11± 0.12</td><td>4.15</td></tr>
  <tr><td>HD 3823</td><td>5950± 50</td><td>4.12± 0.15</td><td>1.00± 0.10</td><td>-0.27± 0.05</td><td>-0.25± 0.13</td><td>4.89</td></tr>
  <tr><td>HD 4391</td><td>5878± 53</td><td>4.74± 0.15</td><td>1.13± 0.10</td><td>-0.03± 0.06</td><td>-0.04± 0.13</td><td>8.21</td></tr>
  <tr><td>HD 7570</td><td>6140± 41</td><td>4.39± 0.16</td><td>1.50± 0.08</td><td>0.18± 0.05</td><td>0.26± 0.12</td><td>6.28</td></tr>
  <tr><td>HD 10700</td><td>5344± 29</td><td>4.57± 0.09</td><td>0.91± 0.06</td><td>-0.52± 0.04</td><td>-0.56± 0.11</td><td>15.42</td></tr>
  <tr><td>HD 14412</td><td>5368± 24</td><td>4.55± 0.05</td><td>0.88± 0.05</td><td>-0.47± 0.03</td><td>-0.53± 0.11</td><td>16.58</td></tr>
  <tr><td>HD 20010</td><td>6275± 57</td><td>4.40± 0.37</td><td>2.41± 0.41</td><td>-0.19± 0.06</td><td>-0.14± 0.15</td><td>3.69</td></tr>
  <tr><td>HD 20766</td><td>5733± 31</td><td>4.55± 0.10</td><td>1.09± 0.06</td><td>-0.21± 0.04</td><td>-0.21± 0.11</td><td>8.35</td></tr>
  <tr><td>HD 20794</td><td>5444± 31</td><td>4.47± 0.07</td><td>0.98± 0.06</td><td>-0.38± 0.04</td><td>-0.50± 0.11</td><td>14.72</td></tr>
  <tr><td>HD 20807</td><td>5843± 26</td><td>4.47± 0.10</td><td>1.17± 0.06</td><td>-0.23± 0.04</td><td>-0.20± 0.11</td><td>7.44</td></tr>
  <tr><td>HD 23484</td><td>5176± 45</td><td>4.41± 0.17</td><td>1.03± 0.06</td><td>0.06± 0.05</td><td>-0.19± 0.12</td><td>16.86</td></tr>
  <tr><td>HD 30495</td><td>5868± 30</td><td>4.55± 0.10</td><td>1.24± 0.05</td><td>0.02± 0.04</td><td>0.01± 0.11</td><td>7.86</td></tr>
  <tr><td>HD 36435</td><td>5479± 37</td><td>4.61± 0.07</td><td>1.12± 0.05</td><td>-0.00± 0.05</td><td>-0.17± 0.11</td><td>8.82</td></tr>
  <tr><td>HD 38858</td><td>5752± 32</td><td>4.53± 0.07</td><td>1.26± 0.07</td><td>-0.23± 0.05</td><td>-0.15± 0..11</td><td>10.46</td></tr>
  <tr><td>HD 43162</td><td>5633± 35</td><td>4.48± 0.07</td><td>1.24± 0.05</td><td>-0.01± 0.04</td><td>-0.16± 0.11</td><td>6.93</td></tr>
  <tr><td>HD 43834</td><td>5594± 36</td><td>4.41± 0.09</td><td>1.05± 0.04</td><td>0.10± 0.05</td><td>0.04± 0.11</td><td>11.53</td></tr>
  <tr><td>HD 69830</td><td>5410± 26</td><td>4.38± 0.07</td><td>0.89± 0.03</td><td>-0.03± 0.04</td><td>-0.08± 0.11</td><td>15.02</td></tr>
  <tr><td>HD 72673</td><td>5242± 28</td><td>4.50± 0.09</td><td>0.69± 0.05</td><td>-0.37± 0.04</td><td>-0.38± 0.11</td><td>16.37</td></tr>
  <tr><td>HD 76151</td><td>5803± 29</td><td>4.50± 0.08</td><td>1.02± 0.04</td><td>0.14± 0.04</td><td>0.25± 0.11</td><td>12.54</td></tr>
  <tr><td>HD 84117</td><td>6167± 37</td><td>4.35± 0.10</td><td>1.42± 0.09</td><td>-0.03± 0.05</td><td>0.09± 0.12</td><td>4.16</td></tr>
  <tr><td>HD 189567</td><td>5765± 24</td><td>4.52± 0.05</td><td>1.22± 0.05</td><td>-0.23± 0.04</td><td>-0.22± 0.11</td><td>9.65</td></tr>
  <tr><td>HD 192310</td><td>5069± 49</td><td>4.38± 0.19</td><td>0.79± 0.07</td><td>-0.01± 0.05</td><td>-0.19± 0.13</td><td>19.83</td></tr>
  <tr><td>HD 211415</td><td>5890± 30</td><td>4.51± 0.07</td><td>1.12± 0.07</td><td>-0.17± 0.04</td><td>-0.11± 0.11</td><td>7.88</td></tr>
  <tr><td>HD 222335</td><td>5260± 41</td><td>4.45± 0.11</td><td>0.92± 0.06</td><td>-0.16± 0.05</td><td>-0.25± 0.12</td><td>12.98</td></tr>
</table>
