<table>
  <caption>Parameters of the quasars</caption>
  <tr><th>QSO</th><th>z_(em)</th><th>m_(B) [mag]</th></tr>
  <tr><td>PG 1634+706</td><td>1.34</td><td>14.9</td></tr>
  <tr><td>PKS 0232-04</td><td>1.44</td><td>16.6</td></tr>
  <tr><td>PG 1630+377</td><td>1.48</td><td>16.5</td></tr>
  <tr><td>PG 0117+213</td><td>1.50</td><td>16.1</td></tr>
  <tr><td>HE 0515-4414</td><td>1.73</td><td>15.0</td></tr>
  <tr><td>HE 0141-3932</td><td>1.80</td><td>16.2</td></tr>
  <tr><td>HE 2225-2258</td><td>1.89</td><td>16.3</td></tr>
  <tr><td>HS 0747+4259</td><td>1.90</td><td>15.8</td></tr>
  <tr><td>HE 0429-4901</td><td>1.94</td><td>16.2</td></tr>
</table>
