<table>
  <caption>Large scattering lengths a [ sears92 ] and neutron binding energies S n [ audi03 ] for some selected nuclei with A=140-180 and with A=40-60.</caption>
  <tr><th>isotope</th><th>a [fm]</th><th>S_(n) [MeV]</th></tr>
  <tr><th>^((143)) Nd</th><td>14.2</td><td>6.1</td></tr>
  <tr><th>^((145)) Nd</th><td>14.2</td><td>5.8</td></tr>
  <tr><th>^((147)) Pm</th><td>12.6</td><td>7.6</td></tr>
  <tr><th>^((147)) Sm</th><td>14.</td><td>6.3</td></tr>
  <tr><th>^((150)) Sm</th><td>14.</td><td>8.0</td></tr>
  <tr><th>^((164)) Dy</th><td>49.2</td><td>7.7</td></tr>
  <tr><th>^((166)) Er</th><td>10.5</td><td>8.5</td></tr>
  <tr><th>^((174)) Yb</th><td>19.3</td><td>7.5</td></tr>
  <tr><th>^((174)) Hf</th><td>10.9</td><td>8.5</td></tr>
  <tr><th>^((180)) Hf</th><td>13.2</td><td>7.4</td></tr>
  <tr><th>^((45)) Sc</th><td>12.3</td><td>11.3</td></tr>
  <tr><th>^((58)) Fe</th><td>15.</td><td>10.0</td></tr>
  <tr><th>^((58)) Ni</th><td>14.4</td><td>12.2</td></tr>
</table>
