<table>
  <caption>Results of the new conversion procedure on 239 Pu (1.5 days irradiation time) and 241 Pu (1.8 days irradiation time) antineutrino spectra - see comments for 235 U. The conversion error and the error due to the A C,W terms are the same as those given in table LABEL:tab:final_resultsU5 . The statistical and normalization errors for both plutonium isotopes can be found in [ SchreckPu9Pu1 ] .</caption>
  <tr><td></td><td colspan="3">^((239)) Pu</td><td colspan="3">^((241)) Pu</td></tr>
  <tr><td>E_()</td><td>β res</td><td>N_(ν)_(e)</td><td>Δ N_(ν)_(e)</td><td>β res</td><td>N_(ν)_(e)</td><td>Δ N_(ν)_(e)</td></tr>
  <tr><td>(MeV)</td><td>(%)</td><td>(/fission)</td><td>(%)</td><td>(%)</td><td>(/fission)</td><td>(%)</td></tr>
  <tr><td>2.00</td><td>-0.03</td><td>1.13</td><td>2.3</td><td>-0.04</td><td>1.27</td><td>2.2</td></tr>
  <tr><td>2.25</td><td>-0.12</td><td>9.19 (-1)</td><td>2.3</td><td>0.10</td><td>1.07</td><td>2.2</td></tr>
  <tr><td>2.50</td><td>0.14</td><td>7.28 (-1)</td><td>2.4</td><td>-0.11</td><td>9.06 (-1)</td><td>2.2</td></tr>
  <tr><td>2.75</td><td>-0.38</td><td>6.13 (-1)</td><td>2.4</td><td>0.00</td><td>7.63 (-1)</td><td>2.2</td></tr>
  <tr><td>3.00</td><td>0.31</td><td>5.04 (-1)</td><td>2.4</td><td>0.24</td><td>6.39 (-1)</td><td>2.2</td></tr>
  <tr><td>3.25</td><td>0.05</td><td>4.10 (-1)</td><td>2.4</td><td>0.98</td><td>5.31 (-1)</td><td>2.2</td></tr>
  <tr><td>3.50</td><td>0.04</td><td>3.21 (-1)</td><td>2.6</td><td>0.65</td><td>4.33 (-1)</td><td>2.4</td></tr>
  <tr><td>3.75</td><td>1.49</td><td>2.54 (-1)</td><td>2.6</td><td>0.49</td><td>3.51 (-1)</td><td>2.4</td></tr>
  <tr><td>4.00</td><td>-0.87</td><td>2.00 (-1)</td><td>2.7</td><td>-0.09</td><td>2.82 (-1)</td><td>2.5</td></tr>
  <tr><td>4.25</td><td>-0.63</td><td>1.51 (-1)</td><td>2.9</td><td>0.02</td><td>2.18 (-1)</td><td>2.7</td></tr>
  <tr><td>4.50</td><td>4.49</td><td>1.10 (-1)</td><td>3.0</td><td>-1.26</td><td>1.65 (-1)</td><td>2.8</td></tr>
  <tr><td>4.75</td><td>0.21</td><td>7.97 (-2)</td><td>3.0</td><td>-0.80</td><td>1.22 (-1)</td><td>2.8</td></tr>
  <tr><td>5.00</td><td>-2.47</td><td>6.15 (-2)</td><td>3.3</td><td>-0.48</td><td>9.59 (-2)</td><td>3.1</td></tr>
  <tr><td>5.25</td><td>-2.48</td><td>4.68 (-2)</td><td>3.3</td><td>-0.92</td><td>7.36 (-2)</td><td>3.1</td></tr>
  <tr><td>5.50</td><td>-5.41</td><td>3.50 (-2)</td><td>4.4</td><td>-0.93</td><td>5.52 (-2)</td><td>4.3</td></tr>
  <tr><td>5.75</td><td>-0.32</td><td>2.55 (-2)</td><td>4.6</td><td>-0.07</td><td>4.01 (-2)</td><td>4.5</td></tr>
  <tr><td>6.00</td><td>2.26</td><td>1.82 (-2)</td><td>4.9</td><td>1.69</td><td>2.81 (-2)</td><td>4.7</td></tr>
  <tr><td>6.25</td><td>1.53</td><td>1.32 (-2)</td><td>5.0</td><td>0.77</td><td>2.04 (-2)</td><td>4.7</td></tr>
  <tr><td>6.50</td><td>-0.76</td><td>9.82 (-3)</td><td>5.2</td><td>0.10</td><td>1.50 (-2)</td><td>4.9</td></tr>
  <tr><td>6.75</td><td>5.47</td><td>7.32 (-3)</td><td>5.2</td><td>-0.94</td><td>1.07 (-2)</td><td>4.9</td></tr>
  <tr><td>7.00</td><td>-5.01</td><td>5.13 (-3)</td><td>7.1</td><td>-0.32</td><td>7.20 (-3)</td><td>5.3</td></tr>
  <tr><td>7.25</td><td>-1.73</td><td>3.15 (-3)</td><td>9.2</td><td>-1.23</td><td>4.47 (-3)</td><td>5.3</td></tr>
  <tr><td>7.50</td><td>-8.94</td><td>1.83 (-3)</td><td>11.1</td><td>-0.96</td><td>2.54 (-3)</td><td>5.7</td></tr>
  <tr><td>7.75</td><td>-32.75</td><td>1.03 (-3)</td><td>15.7</td><td>-1.07</td><td>1.65 (-3)</td><td>5.7</td></tr>
  <tr><td>8.00</td><td>-55.56</td><td>4.91 (-4)</td><td>20.6</td><td>-1.55</td><td>9.63 (-4)</td><td>7.0</td></tr>
</table>
