<table>
  <caption>Upper bounds to the RPV couplings given by the 199 Hg EDM experimental data via the P, CP-odd e - N interactions for m e ~ = 100 GeV. Limits from other experiments [ chemtob , barbier , rpvphenomenology ] are also shown.</caption>
  <tr><th>RPV couplings</th><th>^((199)) Hg EDM</th><th>Other experiments</th></tr>
  <tr><td>|Im(λ^(*)_(211)λ^()_(221))|</td><td>8.2× 10^(-7)</td><td>2.9× 10^(-3)</td></tr>
  <tr><td>|Im(λ^(*)_(311)λ^()_(321))|</td><td>8.2× 10^(-7)</td><td>1.7× 10^(-3)</td></tr>
  <tr><td>|Im(λ^(*)_(211)λ^()_(231))|</td><td>7.3× 10^(-5)</td><td>6.0× 10^(-2)</td></tr>
  <tr><td>|Im(λ^(*)_(311)λ^()_(331))|</td><td>7.3× 10^(-5)</td><td>3.6× 10^(-2)</td></tr>
  <tr><td>|Im(λ^(*)_(211)λ^()_(212))|</td><td>1.4× 10^(-4)</td><td>2.9× 10^(-3)</td></tr>
  <tr><td>|Im(λ^(*)_(311)λ^()_(312))|</td><td>1.4× 10^(-4)</td><td>1.7× 10^(-3)</td></tr>
  <tr><td>|Im(λ^(*)_(211)λ^()_(232))|</td><td>2.6× 10^(-3)</td><td>6.0× 10^(-2)</td></tr>
  <tr><td>|Im(λ^(*)_(311)λ^()_(332))|</td><td>2.6× 10^(-3)</td><td>3.6× 10^(-2)</td></tr>
  <tr><td>|Im(λ^(*)_(211)λ^()_(213))|</td><td>0.3</td><td>2.9× 10^(-3)</td></tr>
  <tr><td>|Im(λ^(*)_(311)λ^()_(313))|</td><td>0.3</td><td>1.7× 10^(-3)</td></tr>
  <tr><td>|Im(λ^(*)_(211)λ^()_(223))|</td><td>3× 10^(-2)</td><td>2.9× 10^(-3)</td></tr>
  <tr><td>|Im(λ^(*)_(311)λ^()_(323))|</td><td>3× 10^(-2)</td><td>1.7× 10^(-3)</td></tr>
</table>
