<table>
  <caption>Properties of the bursts selected for the analysis</caption>
  <tr><th>GRB</th><th>z</th><th>N_()</th><th>T_() (s)</th></tr>
  <tr><th>050724</th><th>0.258</th><td>3</td><td>3.4× 10^(5)</td></tr>
  <tr><th>050730</th><th>3.967</th><td>4</td><td>9.9× 10^(4)</td></tr>
  <tr><th>050802</th><th>1.71</th><td>1</td><td>3.0× 10^(5)</td></tr>
  <tr><th>050814</th><th>5.3</th><td>2</td><td>1.1× 10^(5)</td></tr>
  <tr><th>050820a</th><th>2.612</th><td>1</td><td>1.1× 10^(6)</td></tr>
  <tr><th>050904</th><th>6.29</th><td>7</td><td>4.3× 10^(4)</td></tr>
  <tr><th>050908</th><th>3.344</th><td>2</td><td>2.8× 10^(4)</td></tr>
  <tr><th>051016b</th><th>0.9364</th><td>1</td><td>6.9× 10^(5)</td></tr>
  <tr><th>060115</th><th>3.53</th><td>1</td><td>7.9× 10^(4)</td></tr>
  <tr><th>060124</th><th>2.296</th><td>2</td><td>6.3× 10^(5)</td></tr>
</table>
