<table>
  <caption>Chemical composition of BD+46 \degr 442.</caption>
  <tr><th>Z</th><th>Ion</th><th>log ε</th><th>[X/H]</th><th>RMS</th><th colspan="2">Δ[X/H]</th><th>N</th><th>flag</th></tr>
  <tr><td></td><th></th><th></th><th></th><th></th><th>A</th><th>B</th><th></th><td></td></tr>
  <tr><td>6</td><td>C I</td><td>8.11</td><td>- 0.41</td><td>0.09</td><td>- 0.05</td><td>+ 0.05</td><td>6</td><td>2</td></tr>
  <tr><td>7</td><td>N I</td><td>7.89</td><td>- 0.04</td><td>0.18</td><td>+ 0.02</td><td>- 0.01</td><td>2</td><td>3</td></tr>
  <tr><td>11</td><td>Na I</td><td>5.79</td><td>- 0.53</td><td>0.08</td><td>- 0.09</td><td>+ 0.09</td><td>2</td><td>3</td></tr>
  <tr><td>12</td><td>Mg I</td><td>6.92</td><td>- 0.66</td><td>0.35</td><td>- 0.07</td><td>+ 0.07</td><td>2</td><td>3</td></tr>
  <tr><td>13</td><td>Al I</td><td>6.32</td><td>- 0.15</td><td>-</td><td>- 0.09</td><td>+ 0.09</td><td>1</td><td>3</td></tr>
  <tr><td>14</td><td>Si I</td><td>7.09</td><td>- 0.45</td><td>0.16</td><td>- 0.08</td><td>+ 0.07</td><td>8</td><td>2</td></tr>
  <tr><td>16</td><td>S I</td><td>6.67</td><td>- 0.45</td><td>0.08</td><td>- 0.06</td><td>+ 0.06</td><td>3</td><td>2</td></tr>
  <tr><td>20</td><td>Ca I</td><td>5.51</td><td>- 0.85</td><td>0.08</td><td>- 0.11</td><td>+ 0.12</td><td>5</td><td>2</td></tr>
  <tr><td>21</td><td>Sc II</td><td>2.38</td><td>- 0.77</td><td>0.15</td><td>- 0.25</td><td>+ 0.26</td><td>4</td><td>1</td></tr>
  <tr><td>22</td><td>Ti I</td><td>4.40</td><td>- 0.61</td><td>-</td><td>- 0.17</td><td>+ 0.16</td><td>1</td><td>3</td></tr>
  <tr><td>22</td><td>Ti II</td><td>4.27</td><td>- 0.74</td><td>0.17</td><td>- 0.25</td><td>+ 0.24</td><td>13</td><td>1</td></tr>
  <tr><td>23</td><td>V II</td><td>3.30</td><td>- 0.67</td><td>0.16</td><td>- 0.23</td><td>+ 0.23</td><td>3</td><td>1</td></tr>
  <tr><td>24</td><td>Cr I</td><td>4.75</td><td>- 0.86</td><td>0.13</td><td>- 0.17</td><td>+ 0.16</td><td>3</td><td>2</td></tr>
  <tr><td>24</td><td>Cr II</td><td>4.86</td><td>- 0.73</td><td>0.10</td><td>- 0.17</td><td>+ 0.18</td><td>9</td><td>1</td></tr>
  <tr><td>25</td><td>Mn I</td><td>4.52</td><td>- 0.86</td><td>0.12</td><td>- 0.14</td><td>+ 0.14</td><td>3</td><td>2</td></tr>
  <tr><td>26</td><td>Fe I</td><td>6.59</td><td>- 0.88</td><td>0.20</td><td>- 0.13</td><td>+ 0.13</td><td>39</td><td>2</td></tr>
  <tr><td>26</td><td>Fe II</td><td>6.75</td><td>- 0.73</td><td>0.15</td><td>- 0.18</td><td>+ 0.19</td><td>25</td><td>1</td></tr>
  <tr><td>28</td><td>Ni I</td><td>5.37</td><td>- 0.86</td><td>0.13</td><td>- 0.14</td><td>+ 0.13</td><td>15</td><td>2</td></tr>
  <tr><td>29</td><td>Cu I</td><td>2.89</td><td>- 1.32</td><td>-</td><td>- 0.20</td><td>+ 0.21</td><td>1</td><td>3</td></tr>
  <tr><td>30</td><td>Zn I</td><td>3.72</td><td>- 0.85</td><td>-</td><td>- 0.16</td><td>+ 0.18</td><td>1</td><td>3</td></tr>
  <tr><td>39</td><td>Y II</td><td>1.03</td><td>- 1.19</td><td>0.12</td><td>- 0.27</td><td>+ 0.27</td><td>3</td><td>1</td></tr>
  <tr><td>40</td><td>Zr II</td><td>1.79</td><td>- 0.79</td><td>-</td><td>- 0.25</td><td>+ 0.25</td><td>1</td><td>3</td></tr>
  <tr><td>56</td><td>Ba II</td><td>1.40</td><td>- 0.73</td><td>-</td><td>- 0.31</td><td>+ 0.30</td><td>1</td><td>3</td></tr>
  <tr><td>60</td><td>Nd II</td><td>1.07</td><td>- 0.49</td><td>-</td><td>- 0.28</td><td>+ 0.29</td><td>1</td><td>3</td></tr>
  <tr><td>63</td><td>Eu II</td><td>0.02</td><td>- 0.48</td><td>-</td><td>- 0.26</td><td>+ 0.27</td><td>1</td><td>3</td></tr>
</table>
