<table>
  <caption>Mass fractions of the elements in the model.</caption>
  <tr><th>Element</th><th>Mass fraction</th></tr>
  <tr><th>Neon</th><td>1.74× 10^(-3)</td></tr>
  <tr><th>Silicon</th><td>6.99× 10^(-5)</td></tr>
  <tr><th>Phosphorus</th><td>6.12× 10^(-7)</td></tr>
  <tr><th>Sulfar</th><td>3.82× 10^(-5)</td></tr>
  <tr><th>Chorine</th><td>7.87× 10^(-7)</td></tr>
  <tr><th>Argon</th><td>1.02× 10^(-5)</td></tr>
  <tr><th>Calcium</th><td>6.44× 10^(-6)</td></tr>
  <tr><th>Chromium</th><td>1.70× 10^(-6)</td></tr>
  <tr><th>Manganese</th><td>9.44× 10^(-7)</td></tr>
  <tr><th>Iron</th><td>1.36× 10^(-4)</td></tr>
  <tr><th>Nickel</th><td>7.32× 10^(-6)</td></tr>
</table>
