<table>
  <caption>Comparison of line strengths of H α and [N ii ] 6583.45 Å for slit positions in the H ii region.</caption>
  <tr><th>distance to M star [ ]</th><th>H _(α) /[N ii ]</th></tr>
  <tr><th>1.4</th><td>2.7± 0.9</td></tr>
  <tr><th>1.9</th><td>3.9± 1.7</td></tr>
  <tr><th>2.4</th><td>3.7± 1.6</td></tr>
  <tr><th>2.9</th><td>3.3± 1.0</td></tr>
  <tr><th>3.4</th><td>3.8± 1.0</td></tr>
  <tr><th>3.9</th><td>4.5± 1.3</td></tr>
  <tr><th>4.4</th><td>5.8± 1.9</td></tr>
  <tr><th>4.9</th><td>8.0± 1.8</td></tr>
  <tr><th>5.4</th><td>10.3± 5.4</td></tr>
  <tr><th>5.9</th><td>7.7± 3.3</td></tr>
  <tr><th>6.4</th><td>11.5± 6.5</td></tr>
  <tr><th>6.9</th><td>9.5± 10.7</td></tr>
</table>
