<table>
  <caption>Proper Motion Measurements for Jet Knots</caption>
  <tr><td>Knot</td><td>Convergence</td><td>D _(CE)</td><td>μ_(x)~~~~</td><td>μ_(y)</td><td>μ_(T)</td><td>α (J2000)</td><td>δ (J2000) ^((c))</td></tr>
  <tr><td>ID</td><td>Date</td><td>( ^(()) )</td><td>( ^(()) yr ^((-1)) )</td><td>( ^(()) yr ^((-1)) )</td><td>( ^(()) yr ^((-1)) )</td><td>(h m s)</td><td>( ^((°)) ^(()) ^(()) )</td></tr>
  <tr><td>1</td><td>1095</td><td>7.276</td><td>0.02</td><td>0.29</td><td>0.29</td><td>05 34 33.692</td><td>+22 05 13.98</td></tr>
  <tr><td>2</td><td>1066</td><td>4.404</td><td>0.01</td><td>0.27</td><td>0.28</td><td>05 34 33.971</td><td>+22 05 05.45</td></tr>
  <tr><td>3</td><td>1092</td><td>11.639</td><td>0.03</td><td>0.28</td><td>0.28</td><td>05 34 33.759</td><td>+22 05 01.88</td></tr>
  <tr><td>4</td><td>1065</td><td>1.344</td><td>0.03</td><td>0.27</td><td>0.27</td><td>05 34 34.523</td><td>+22 05 00.36</td></tr>
  <tr><td>5</td><td>1090</td><td>12.195</td><td>0.04</td><td>0.27</td><td>0.27</td><td>05 34 34.749</td><td>+22 04 57.36</td></tr>
  <tr><td>6</td><td>1054</td><td>9.951</td><td>-0.02</td><td>0.26</td><td>0.26</td><td>05 34 31.929</td><td>+22 04 54.81</td></tr>
  <tr><td>7</td><td>1059</td><td>3.076</td><td>0.01</td><td>0.26</td><td>0.26</td><td>05 34 33.440</td><td>+22 04 51.64</td></tr>
  <tr><td>8</td><td>1015</td><td>15.081</td><td>0.05</td><td>0.24</td><td>0.25</td><td>05 34 34.901</td><td>+22 04 49.99</td></tr>
  <tr><td>9</td><td>1035</td><td>2.589</td><td>-0.01</td><td>0.25</td><td>0.25</td><td>05 34 32.508</td><td>+22 04 49.44</td></tr>
  <tr><td>10</td><td>1044</td><td>6.287</td><td>-0.02</td><td>0.25</td><td>0.25</td><td>05 34 32.045</td><td>+22 04 47.47</td></tr>
  <tr><td>11</td><td>1048</td><td>7.347</td><td>0.03</td><td>0.24</td><td>0.25</td><td>05 34 34.552</td><td>+22 04 41.48</td></tr>
  <tr><td>12</td><td>1067</td><td>4.962</td><td>0.04</td><td>0.25</td><td>0.25</td><td>05 34 35.171</td><td>+22 04 40.49</td></tr>
  <tr><td>13</td><td>1039</td><td>14.228</td><td>-0.03</td><td>0.24</td><td>0.24</td><td>05 34 31.983</td><td>+22 04 38.45</td></tr>
  <tr><td>14</td><td>1050</td><td>7.636</td><td>-0.01</td><td>0.24</td><td>0.24</td><td>05 34 32.709</td><td>+22 04 37.49</td></tr>
  <tr><td>15</td><td>1023</td><td>9.589</td><td>0.04</td><td>0.23</td><td>0.23</td><td>05 34 34.918</td><td>+22 04 35.54</td></tr>
  <tr><td>16</td><td>1001</td><td>10.281</td><td>0.04</td><td>0.22</td><td>0.23</td><td>05 34 34.816</td><td>+22 04 35.45</td></tr>
  <tr><td>17</td><td>1029</td><td>11.021</td><td>0.04</td><td>0.23</td><td>0.23</td><td>05 34 34.740</td><td>+22 04 34.83</td></tr>
  <tr><td>18</td><td>1028</td><td>9.539</td><td>0.02</td><td>0.23</td><td>0.23</td><td>05 34 33.755</td><td>+22 04 34.83</td></tr>
  <tr><td>19</td><td>1004</td><td>11.673</td><td>-0.01</td><td>0.22</td><td>0.23</td><td>05 34 32.796</td><td>+22 04 33.51</td></tr>
  <tr><td>20</td><td>1038</td><td>13.634</td><td>-0.02</td><td>0.23</td><td>0.23</td><td>05 34 31.995</td><td>+22 04 29.60</td></tr>
  <tr><td>21</td><td>1083</td><td>6.839</td><td>0.03</td><td>0.24</td><td>0.24</td><td>05 34 34.285</td><td>+22 04 29.55</td></tr>
  <tr><td>22</td><td>1085</td><td>10.776</td><td>0.05</td><td>0.24</td><td>0.24</td><td>05 34 35.086</td><td>+22 04 27.58</td></tr>
  <tr><td>23</td><td>1087</td><td>4.165</td><td>0.00</td><td>0.24</td><td>0.24</td><td>05 34 33.127</td><td>+22 04 26.01</td></tr>
  <tr><td>24</td><td>1011</td><td>3.100</td><td>-0.01</td><td>0.22</td><td>0.22</td><td>05 34 32.477</td><td>+22 04 25.57</td></tr>
  <tr><td>25</td><td>1020</td><td>18.716</td><td>-0.03</td><td>0.22</td><td>0.22</td><td>05 34 32.209</td><td>+22 04 23.55</td></tr>
  <tr><td>26</td><td>1081</td><td>5.428</td><td>0.04</td><td>0.22</td><td>0.23</td><td>05 34 34.716</td><td>+22 04 15.33</td></tr>
  <tr><td>27</td><td>1024</td><td>12.762</td><td>0.01</td><td>0.21</td><td>0.21</td><td>05 34 34.498</td><td>+22 04 12.67</td></tr>
  <tr><td>28</td><td>1028</td><td>11.971</td><td>0.01</td><td>0.21</td><td>0.21</td><td>05 34 34.381</td><td>+22 04 10.86</td></tr>
  <tr><td>29</td><td>1051</td><td>8.362</td><td>0.01</td><td>0.21</td><td>0.21</td><td>05 34 34.103</td><td>+22 04 07.95</td></tr>
  <tr><td>30</td><td>1055</td><td>1.637</td><td>0.02</td><td>0.21</td><td>0.21</td><td>05 34 34.284</td><td>+22 04 04.00</td></tr>
  <tr><td>31</td><td>1076</td><td>6.288</td><td>0.05</td><td>0.21</td><td>0.21</td><td>05 34 35.381</td><td>+22 04 03.93</td></tr>
  <tr><td>32</td><td>1063</td><td>4.861</td><td>-0.00</td><td>0.21</td><td>0.21</td><td>05 34 32.904</td><td>+22 04 03.66</td></tr>
  <tr><td>33</td><td>1067</td><td>7.809</td><td>0.04</td><td>0.21</td><td>0.21</td><td>05 34 34.972</td><td>+22 04 03.23</td></tr>
  <tr><td>34</td><td>1007</td><td>0.479</td><td>0.01</td><td>0.19</td><td>0.19</td><td>05 34 33.222</td><td>+22 03 57.80</td></tr>
  <tr><td>35</td><td>1066</td><td>11.303</td><td>0.05</td><td>0.19</td><td>0.20</td><td>05 34 35.343</td><td>+22 03 53.13</td></tr>
</table>
