<table>
  <caption>Foot bone volume, surface area and bone density (Mean ± SD)</caption>
  <tr><th></th><th>Wrestler</th><th></th><th></th><th>Volleyballer</th><th></th><th></th></tr>
  <tr><th></th><th>Volume (cm^(3))</th><th>Area (cm^(2))</th><th>Density (g/cm^(3))</th><th>Volume (cm^(3))</th><th>Area (cm^(2))</th><th>Density (g/cm^(3))</th></tr>
  <tr><th>Ca.</th><td>71.01± 8.46</td><td>107.39± 8.83</td><td>1.47± 0.04</td><td>83.94± 6.05</td><td>120.70± 5.56</td><td>1.49± 0.05</td></tr>
  <tr><th>Ta.</th><td>38.30± 4.33</td><td>71.38± 5.41</td><td>1.63± 0.04</td><td>43.87± 3.33</td><td>80.11± 5.97</td><td>1.65± 0.04</td></tr>
  <tr><th>Na.</th><td>11.45± 1.39</td><td>31.21± 2.73</td><td>1.56± 0.04</td><td>13.44± 1.51</td><td>34.78± 3.00</td><td>1.58± 0.05</td></tr>
  <tr><th>Cu.</th><td>13.87± 1.61</td><td>33.14± 2.77</td><td>1.46± 0.04</td><td>15.09± 2.69</td><td>35.24± 4.78</td><td>1.47± 0.05</td></tr>
  <tr><th>La.</th><td>5.91± 0.69</td><td>19.09± 1.56</td><td>1.51± 0.04</td><td>6.79± 0.61</td><td>20.99± 1.28</td><td>1.53± 0.06</td></tr>
  <tr><th>In.</th><td>4.43± 0.66</td><td>15.69± 1.56</td><td>1.59± 0.04</td><td>5.20± 0.44</td><td>17.56± 1.00</td><td>1.64± 0.06</td></tr>
  <tr><th>Me.</th><td>10.76± 1.48</td><td>28.60± 2.73</td><td>1.52± 0.03</td><td>12.20± 1.04</td><td>31.02± 1.91</td><td>1.58± 0.05</td></tr>
  <tr><th>Fi.</th><td>16.94± 2.23</td><td>44.90± 3.89</td><td>1.62± 0.05</td><td>20.93± 2.25</td><td>51.94± 3.47</td><td>1.65± 0.05</td></tr>
  <tr><th>Se.</th><td>9.01± 1.29</td><td>33.72± 3.25</td><td>1.73± 0.07</td><td>11.65± 0.77</td><td>40.56± 2.08</td><td>1.76± 0.08</td></tr>
  <tr><th>Th.</th><td>7.72± 0.58</td><td>30.23± 1.60</td><td>1.70± 0.05</td><td>8.99± 1.07</td><td>34.50± 2.61</td><td>1.68± 0.07</td></tr>
  <tr><th>Fo.</th><td>7.47± 0.78</td><td>28.80± 2.19</td><td>1.66± 0.04</td><td>8.88± 0.92</td><td>32.97± 2.05</td><td>1.66± 0.05</td></tr>
  <tr><th>Fif.</th><td>8.83± 1.09</td><td>30.92± 2.64</td><td>1.72± 0.05</td><td>9.65± 1.07</td><td>33.73± 2.49</td><td>1.71± 0.05</td></tr>
</table>
